模型,词牌,词数,句数,跨词句对数,语义P50,语义P90,字面P50,字面P90,差值P50,高语义比例,高字面比例,伪原创比例,语义熵,综合评分
doubao-seed-2.0-pro,沁园春,44,1099,590174,0.3152,0.4561,0.0000,0.0000,0.3083,0.0019,0.0042,0.5364,0.7068,0.3786
doubao-seed-2.0-pro,清平乐,46,368,66240,0.3206,0.4715,0.0000,0.1538,0.3047,0.0014,0.0066,0.5205,0.7220,0.3885
doubao-seed-2.0-pro,浪淘沙,38,380,70300,0.3075,0.4590,0.0000,0.0000,0.2933,0.0013,0.0053,0.4706,0.7254,0.3756
doubao-seed-2.0-pro,菩萨蛮,41,328,52480,0.3034,0.4642,0.0000,0.0000,0.2910,0.0005,0.0026,0.4611,0.7303,0.3758
doubao-seed-2.0-pro,祝英台近,31,497,119520,0.3194,0.4574,0.0000,0.0000,0.3097,0.0008,0.0038,0.5434,0.7050,0.3815
deepseek-3.2-thinking,浪淘沙,34,340,56100,0.3218,0.4821,0.0000,0.1667,0.2975,0.0011,0.0092,0.4885,0.7367,0.3939
deepseek-3.2-thinking,菩萨蛮,44,352,60544,0.3250,0.4932,0.0000,0.2000,0.2967,0.0018,0.0066,0.4849,0.7447,0.4007
deepseek-3.2-thinking,沁园春,38,951,440297,0.3157,0.4680,0.0000,0.0000,0.3035,0.0018,0.0081,0.5143,0.7312,0.3843
deepseek-3.2-thinking,祝英台近,40,648,204687,0.3162,0.4635,0.0000,0.1250,0.2995,0.0011,0.0066,0.4978,0.7240,0.3825
deepseek-3.2-thinking,清平乐,44,352,60544,0.3228,0.4887,0.0000,0.1667,0.2935,0.0016,0.0143,0.4719,0.7517,0.3975
qwen3.6-plus,浪淘沙,24,235,26437,0.3304,0.4816,0.0000,0.1429,0.3115,0.0017,0.0062,0.5486,0.7336,0.3984
qwen3.6-plus,祝英台近,36,528,135268,0.3297,0.4680,0.0000,0.0000,0.3143,0.0006,0.0034,0.5651,0.7058,0.3919
qwen3.6-plus,清平乐,39,312,47424,0.3365,0.4833,0.0000,0.1667,0.3144,0.0003,0.0031,0.5631,0.7203,0.4026
qwen3.6-plus,沁园春,25,594,169191,0.3267,0.4610,0.0000,0.0000,0.3166,0.0011,0.0043,0.5737,0.7044,0.3871
qwen3.6-plus,菩萨蛮,37,296,42624,0.3281,0.4869,0.0000,0.1667,0.3070,0.0004,0.0031,0.5313,0.7326,0.3995
glm-5,浪淘沙,12,120,6600,0.3100,0.4682,0.0000,0.1429,0.2937,0.0021,0.0086,0.4717,0.7201,0.3812
glm-5,祝英台近,15,243,27542,0.3158,0.4523,0.0000,0.0000,0.3054,0.0008,0.0028,0.5251,0.6994,0.3772
glm-5,清平乐,18,144,9792,0.3199,0.4587,0.0000,0.1538,0.3038,0.0005,0.0058,0.5174,0.7027,0.3824
glm-5,沁园春,6,139,8031,0.3141,0.4534,0.0000,0.0000,0.3078,0.0002,0.0034,0.5358,0.6971,0.3768
glm-5,菩萨蛮,12,96,4224,0.3119,0.4734,0.0000,0.1667,0.2943,0.0014,0.0064,0.4794,0.7263,0.3846
gemini-3.1-pro,菩萨蛮,3,24,192,0.3364,0.4963,0.0000,0.1667,0.3025,0.0000,0.0052,0.5104,0.7262,0.4084
