db,db_label,prompt_type,model,total_poems,distinct_cipai_count,top1_cipai,top1_count,top1_ratio,top5_cipais,cipai_entropy,cipai_hhi
a1,无限制生成,type_c,deepseek-3.2-thinking,50,13,鹧鸪天,15,0.300000,鹧鸪天:15|青玉案:11|蝶恋花:5|西江月:4|临江仙:3,3.033228,0.168000
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,4,鹧鸪天,26,0.520000,鹧鸪天:26|卜算子:18|浣溪沙:5|清平乐:1,1.466262,0.410400
a1,无限制生成,type_c,gemini-3-flash,20,11,临江仙,3,0.150000,临江仙:3|定风波:3|鹧鸪天:2|踏莎行:2|青玉案:2,3.346439,0.105000
a1,无限制生成,type_c,gemini-3.1-pro,10,5,踏莎行,5,0.500000,踏莎行:5|鹧鸪天:2|卜算子:1|浣溪沙:1|相见欢:1,1.960964,0.320000
a1,无限制生成,type_c,glm-4.7,45,19,满江红,6,0.133333,满江红:6|八声甘州:6|水龙吟:4|沁园春:4|水调歌头:3,3.968979,0.075556
a1,无限制生成,type_c,glm-5,50,18,鹧鸪天,12,0.240000,鹧鸪天:12|满庭芳:5|临江仙:4|蝶恋花:4|踏莎行:4,3.696175,0.104800
a1,无限制生成,type_c,gpt-5.4-high,2,1,浣溪沙,2,1.000000,浣溪沙:2,0.000000,1.000000
a1,无限制生成,type_c,kimi-k2.5,28,12,贺新郎,6,0.214286,贺新郎:6|满庭芳:5|水调歌头:4|鹧鸪天:3|青玉案:2,3.240416,0.127551
a1,无限制生成,type_c,qwen3-max,48,2,青玉案,39,0.812500,青玉案:39|临江仙:9,0.696212,0.695312
a1,无限制生成,type_c,qwen3.5-flash,50,14,鹧鸪天,13,0.260000,鹧鸪天:13|浣溪沙:6|行香子:5|满江红:4|念奴娇:3,3.423865,0.120800
a1,无限制生成,type_c,qwen3.6-plus,49,9,鹧鸪天,21,0.428571,鹧鸪天:21|青玉案:8|临江仙:8|水调歌头:5|行香子:3,2.418726,0.252811
