db,db_label,prompt_type,category,count,proportion,rank,total_poems,categorized_poems,category_coverage
a1,无限制生成,type_c,离别羁旅,138,0.343284,1,402,402,1.000000
a1,无限制生成,type_c,闲适隐逸,59,0.146766,2,402,402,1.000000
a1,无限制生成,type_c,豪情壮志,41,0.101990,3,402,402,1.000000
a1,无限制生成,type_c,悼亡相思,37,0.092040,4,402,402,1.000000
a1,无限制生成,type_c,咏物寄托,36,0.089552,5,402,402,1.000000
a1,无限制生成,type_c,谈禅说理,30,0.074627,6,402,402,1.000000
a1,无限制生成,type_c,春怨秋悲,23,0.057214,7,402,402,1.000000
a1,无限制生成,type_c,怀古咏史,22,0.054726,8,402,402,1.000000
a1,无限制生成,type_c,山水田园,16,0.039801,9,402,402,1.000000
b1,五词牌-无主题,type_b,离别羁旅,293,0.427114,1,686,686,1.000000
b1,五词牌-无主题,type_b,闲适隐逸,108,0.157434,2,686,686,1.000000
b1,五词牌-无主题,type_b,怀古咏史,67,0.097668,3,686,686,1.000000
b1,五词牌-无主题,type_b,悼亡相思,52,0.075802,4,686,686,1.000000
b1,五词牌-无主题,type_b,豪情壮志,49,0.071429,5,686,686,1.000000
b1,五词牌-无主题,type_b,春怨秋悲,47,0.068513,6,686,686,1.000000
b1,五词牌-无主题,type_b,山水田园,29,0.042274,7,686,686,1.000000
b1,五词牌-无主题,type_b,谈禅说理,24,0.034985,8,686,686,1.000000
b1,五词牌-无主题,type_b,咏物寄托,17,0.024781,9,686,686,1.000000
b2,五词牌-改革主题,type_d,谈禅说理,258,0.410828,1,628,628,1.000000
b2,五词牌-改革主题,type_d,咏物寄托,249,0.396497,2,628,628,1.000000
b2,五词牌-改革主题,type_d,豪情壮志,121,0.192675,3,628,628,1.000000
b3,五词牌-玉兰主题,type_d,咏物寄托,544,0.920474,1,591,591,1.000000
b3,五词牌-玉兰主题,type_d,豪情壮志,31,0.052453,2,591,591,1.000000
b3,五词牌-玉兰主题,type_d,谈禅说理,11,0.018613,3,591,591,1.000000
b3,五词牌-玉兰主题,type_d,春怨秋悲,4,0.006768,4,591,591,1.000000
b3,五词牌-玉兰主题,type_d,闲适隐逸,1,0.001692,5,591,591,1.000000
c1,沁园春-玉兰主题,type_a,咏物寄托,483,0.876588,1,551,551,1.000000
c1,沁园春-玉兰主题,type_a,豪情壮志,60,0.108893,2,551,551,1.000000
c1,沁园春-玉兰主题,type_a,离别羁旅,4,0.007260,3,551,551,1.000000
c1,沁园春-玉兰主题,type_a,春怨秋悲,2,0.003630,4,551,551,1.000000
c1,沁园春-玉兰主题,type_a,闲适隐逸,1,0.001815,5,551,551,1.000000
c1,沁园春-玉兰主题,type_a,谈禅说理,1,0.001815,6,551,551,1.000000
c2,沁园春-改革主题,type_e,谈禅说理,151,0.571970,1,264,264,1.000000
c2,沁园春-改革主题,type_e,豪情壮志,86,0.325758,2,264,264,1.000000
c2,沁园春-改革主题,type_e,咏物寄托,26,0.098485,3,264,264,1.000000
c2,沁园春-改革主题,type_e,闲适隐逸,1,0.003788,4,264,264,1.000000
