db,db_label,prompt_type,model,total_poems,categorized_poems,category_coverage,distinct_category_count,top1_category,top1_count,top1_ratio,top3_categories,category_entropy,category_hhi
a1,无限制生成,type_c,deepseek-3.2-thinking,50,50,1.000000,9,咏物寄托,13,0.260000,咏物寄托:13|悼亡相思:9|豪情壮志:7,2.905542,0.154400
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,50,1.000000,7,闲适隐逸,14,0.280000,闲适隐逸:14|山水田园:11|离别羁旅:8,2.594334,0.184800
a1,无限制生成,type_c,gemini-3-flash,20,20,1.000000,6,谈禅说理,7,0.350000,谈禅说理:7|豪情壮志:4|悼亡相思:3,2.363865,0.220000
a1,无限制生成,type_c,gemini-3.1-pro,10,10,1.000000,5,离别羁旅,4,0.400000,离别羁旅:4|谈禅说理:3|豪情壮志:1,2.046439,0.280000
a1,无限制生成,type_c,glm-4.7,45,45,1.000000,8,豪情壮志,12,0.266667,豪情壮志:12|离别羁旅:12|闲适隐逸:9,2.573557,0.199012
a1,无限制生成,type_c,glm-5,50,50,1.000000,8,离别羁旅,14,0.280000,离别羁旅:14|闲适隐逸:10|春怨秋悲:8,2.733020,0.173600
a1,无限制生成,type_c,gpt-5.4-high,2,2,1.000000,1,闲适隐逸,2,1.000000,闲适隐逸:2,0.000000,1.000000
a1,无限制生成,type_c,kimi-k2.5,28,28,1.000000,6,咏物寄托,9,0.321429,咏物寄托:9|谈禅说理:7|豪情壮志:4,2.389834,0.214286
a1,无限制生成,type_c,qwen3-max,48,48,1.000000,4,离别羁旅,40,0.833333,离别羁旅:40|悼亡相思:5|闲适隐逸:2,0.866488,0.707465
a1,无限制生成,type_c,qwen3.5-flash,50,50,1.000000,9,离别羁旅,23,0.460000,离别羁旅:23|悼亡相思:8|闲适隐逸:6,2.405532,0.268000
a1,无限制生成,type_c,qwen3.6-plus,49,49,1.000000,8,离别羁旅,29,0.591837,离别羁旅:29|闲适隐逸:8|豪情壮志:4,1.964068,0.389421
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,200,200,1.000000,9,离别羁旅,56,0.280000,离别羁旅:56|豪情壮志:28|闲适隐逸:28,2.925395,0.153400
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,200,200,1.000000,6,离别羁旅,96,0.480000,离别羁旅:96|闲适隐逸:34|怀古咏史:25,2.131980,0.294250
b1,五词牌-无主题,type_b,glm-5,98,98,1.000000,9,离别羁旅,33,0.336735,离别羁旅:33|闲适隐逸:25|春怨秋悲:12,2.568029,0.212828
b1,五词牌-无主题,type_b,qwen3.6-plus,188,188,1.000000,9,离别羁旅,108,0.574468,离别羁旅:108|怀古咏史:22|闲适隐逸:21,2.062510,0.365833
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,200,200,1.000000,3,咏物寄托,78,0.390000,咏物寄托:78|谈禅说理:77|豪情壮志:45,1.544170,0.350950
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,200,200,1.000000,3,谈禅说理,126,0.630000,谈禅说理:126|咏物寄托:66|豪情壮志:8,1.133520,0.507400
b2,五词牌-改革主题,type_d,gemini-3.1-pro,4,4,1.000000,1,咏物寄托,4,1.000000,咏物寄托:4,0.000000,1.000000
b2,五词牌-改革主题,type_d,glm-5,63,63,1.000000,3,咏物寄托,34,0.539683,咏物寄托:34|豪情壮志:17|谈禅说理:12,1.445849,0.400353
b2,五词牌-改革主题,type_d,qwen3.6-plus,161,161,1.000000,3,咏物寄托,67,0.416149,咏物寄托:67|豪情壮志:51|谈禅说理:43,1.560413,0.344856
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,200,200,1.000000,5,咏物寄托,186,0.930000,咏物寄托:186|谈禅说理:10|豪情壮志:2,0.456342,0.867550
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,200,200,1.000000,2,咏物寄托,183,0.915000,咏物寄托:183|豪情壮志:17,0.419556,0.844450
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,2,2,1.000000,1,咏物寄托,2,1.000000,咏物寄托:2,0.000000,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,189,189,1.000000,4,咏物寄托,173,0.915344,咏物寄托:173|豪情壮志:12|春怨秋悲:3,0.504226,0.842166
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,200,200,1.000000,3,咏物寄托,193,0.965000,咏物寄托:193|豪情壮志:6|闲适隐逸:1,0.239586,0.932150
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,200,200,1.000000,2,咏物寄托,168,0.840000,咏物寄托:168|豪情壮志:32,0.634310,0.731200
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,2,2,1.000000,2,豪情壮志,1,0.500000,豪情壮志:1|咏物寄托:1,1.000000,0.500000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,149,149,1.000000,5,咏物寄托,121,0.812081,咏物寄托:121|豪情壮志:21|离别羁旅:4,0.914329,0.680285
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,99,99,1.000000,4,谈禅说理,49,0.494949,谈禅说理:49|豪情壮志:40|咏物寄托:9,1.411910,0.416590
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,100,1.000000,3,谈禅说理,80,0.800000,谈禅说理:80|豪情壮志:14|咏物寄托:6,0.898186,0.663200
c2,沁园春-改革主题,type_e,qwen3.6-plus,65,65,1.000000,3,豪情壮志,32,0.492308,豪情壮志:32|谈禅说理:22|咏物寄托:11,1.466041,0.385562
