contrast,scope,model,from_db,to_db,delta_mihi_full,delta_core_mihi,delta_whole_score,delta_sent_score,delta_imagery_score
改革-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b2,c2,-0.011815,-0.010205,-0.010221,-0.010186,-0.018253
改革主题效应,model_level,deepseek-3.2-thinking,b1,b2,0.033189,0.039894,0.070036,0.003055,0.003018
改革主题效应,model_level,doubao-seed-2.0-pro,b1,b2,0.048901,0.055949,0.114312,-0.015383,0.014222
改革主题效应,model_level,qwen3.6-plus,b1,b2,0.022484,0.035324,0.077471,-0.016188,-0.033562
玉兰-沁园春强约束与prompt精简效应,沁园春,deepseek-3.2-thinking,b3,c1,-0.001942,-0.008923,-0.014415,-0.002211,0.026595
玉兰-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b3,c1,0.010939,0.013662,0.003187,0.026465,0.001210
玉兰-沁园春强约束与prompt精简效应,沁园春,qwen3.6-plus,b3,c1,-0.013225,0.006914,0.018636,-0.007412,-0.095086
玉兰主题效应,model_level,deepseek-3.2-thinking,b1,b3,0.071032,0.045524,0.066329,0.020096,0.170750
玉兰主题效应,model_level,doubao-seed-2.0-pro,b1,b3,0.048395,0.045605,0.075951,0.008515,0.056187
玉兰主题效应,model_level,qwen3.6-plus,b1,b3,0.017947,0.006371,0.012673,-0.001331,0.063550
词牌约束效应,model_level,doubao-seed-2.0-pro,a1,b1,0.049982,0.051746,0.068334,0.031471,0.041081
