db,db_label,prompt_type,issue_type,issue_label,poem_count,poem_ratio,issue_count,avg_count_per_poem
a1,无限制生成,type_c,length_mismatch,字数不符,46,0.114428,46,0.114428
a1,无限制生成,type_c,tone_expected_flat,应平实仄,141,0.350746,491,1.221393
a1,无限制生成,type_c,tone_expected_oblique,应仄实平,115,0.286070,359,0.893035
a1,无限制生成,type_c,rhyme_mismatch,出韵/押韵问题,21,0.052239,42,0.104478
a1,无限制生成,type_c,unknown_char,未收录字警告,9,0.022388,9,0.022388
a1,无限制生成,type_c,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,other,其他,0,0.000000,0,0.000000
b1,五词牌-无主题,type_b,length_mismatch,字数不符,101,0.147230,101,0.147230
b1,五词牌-无主题,type_b,tone_expected_flat,应平实仄,167,0.243440,628,0.915452
b1,五词牌-无主题,type_b,tone_expected_oblique,应仄实平,184,0.268222,536,0.781341
b1,五词牌-无主题,type_b,rhyme_mismatch,出韵/押韵问题,30,0.043732,49,0.071429
b1,五词牌-无主题,type_b,unknown_char,未收录字警告,36,0.052478,36,0.052478
b1,五词牌-无主题,type_b,variant_autocorrect,词牌变体智能纠偏,110,0.160350,110,0.160350
b1,五词牌-无主题,type_b,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,length_mismatch,字数不符,118,0.187898,118,0.187898
b2,五词牌-改革主题,type_d,tone_expected_flat,应平实仄,232,0.369427,743,1.183121
b2,五词牌-改革主题,type_d,tone_expected_oblique,应仄实平,199,0.316879,544,0.866242
b2,五词牌-改革主题,type_d,rhyme_mismatch,出韵/押韵问题,26,0.041401,46,0.073248
b2,五词牌-改革主题,type_d,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,variant_autocorrect,词牌变体智能纠偏,93,0.148089,93,0.148089
b2,五词牌-改革主题,type_d,other,其他,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,length_mismatch,字数不符,115,0.194585,115,0.194585
b3,五词牌-玉兰主题,type_d,tone_expected_flat,应平实仄,185,0.313029,632,1.069374
b3,五词牌-玉兰主题,type_d,tone_expected_oblique,应仄实平,161,0.272420,494,0.835871
b3,五词牌-玉兰主题,type_d,rhyme_mismatch,出韵/押韵问题,36,0.060914,60,0.101523
b3,五词牌-玉兰主题,type_d,unknown_char,未收录字警告,4,0.006768,4,0.006768
b3,五词牌-玉兰主题,type_d,variant_autocorrect,词牌变体智能纠偏,96,0.162437,96,0.162437
b3,五词牌-玉兰主题,type_d,other,其他,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,length_mismatch,字数不符,56,0.101633,56,0.101633
c1,沁园春-玉兰主题,type_a,tone_expected_flat,应平实仄,247,0.448276,1758,3.190563
c1,沁园春-玉兰主题,type_a,tone_expected_oblique,应仄实平,198,0.359347,1394,2.529946
c1,沁园春-玉兰主题,type_a,rhyme_mismatch,出韵/押韵问题,24,0.043557,36,0.065336
c1,沁园春-玉兰主题,type_a,unknown_char,未收录字警告,6,0.010889,6,0.010889
c1,沁园春-玉兰主题,type_a,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,other,其他,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,length_mismatch,字数不符,37,0.140152,37,0.140152
c2,沁园春-改革主题,type_e,tone_expected_flat,应平实仄,159,0.602273,1278,4.840909
c2,沁园春-改革主题,type_e,tone_expected_oblique,应仄实平,130,0.492424,886,3.356061
c2,沁园春-改革主题,type_e,rhyme_mismatch,出韵/押韵问题,21,0.079545,35,0.132576
c2,沁园春-改革主题,type_e,unknown_char,未收录字警告,1,0.003788,1,0.003788
c2,沁园春-改革主题,type_e,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,other,其他,0,0.000000,0,0.000000
